万方亭公园	丰台区
万科石京龙滑雪场	延庆区
世界公园	丰台区
世界花卉大观园	丰台区
世界葡萄博览中心景区	延庆区
中国人民抗日战争纪念馆	丰台区
中国园林博物馆	丰台区
中国地质博物馆	西城区
中央广播电视塔	海淀区
中山公园	东城区
中粮·祥云小镇	顺义区
丰台花园	丰台区
乐多港假日广场	昌平区
云居寺	房山区
京城梨园景区	通州区
什刹海	西城区
伊利集团北京乳品厂	密云区
八大处	石景山区
八奇洞景区	门头沟区
八达岭	延庆区
八达岭古长城	延庆区
八达岭野生动物世界	延庆区
兴隆公园	朝阳区
冶仙塔景区	密云区
凤凰岭自然风景区	海淀区
前门大街景区	东城区
动物园	西城区
北京九谷口自然风景区	怀柔区
北京二锅头酒博物馆	西城区
北京京西古道景区	门头沟区
北京古御道生态旅游景区	密云区
北京古钱币展览馆	西城区
北京后花园风景区	西城区
北京园博园	丰台区
北京圣泉山旅游风景区	怀柔区
北京大观园	西城区
北京天文馆	西城区
北京奥林匹克水上公园	顺义区
北京市劳动人民文化宫	东城区
北京市大栅栏商业街区	西城区
北京市宣武艺园	西城区
北京市植物园	海淀区
北京欢乐谷	朝阳区
北京汽车博物馆	丰台区
北京河北村民俗体验园	顺义区
北京海洋馆	海淀区
北京渔阳国际滑雪场景区	朝阳区
北京老舍茶馆	西城区
北京蓝色港湾	朝阳区
北京蓝调庄园	朝阳区
北京西山国家森林公园	海淀区
北京西山大觉寺	海淀区
北京陶瓷艺术馆	朝阳区
北京韩美林艺术馆	通州区
北京顺义国际鲜花港	顺义区
北京顺鑫绿色度假村	顺义区
北京首创奥莱休闲驿站景区	房山区
北宫森林公园	丰台区
北小河公园	朝阳区
北海公园	西城区
十三陵	昌平区
南宫旅游景区	丰台区
南新仓文化休闲街景区	东城区
历代帝王庙	西城区
古塔公园	朝阳区
古崖居原始部落旅游度假区	延庆区
司马台长城景区	密云区
周口店遗址博物馆	房山区
响水湖旅游区	怀柔区
四得公园	朝阳区
团结湖公园	朝阳区
圆明园遗址公园	海淀区
地坛公园	东城区
大望京公园	朝阳区
天坛公园	东城区
太平洋海底世界博览馆	海淀区
奥林匹克森林公园	朝阳区
妙峰山风景名胜区	门头沟区
孔庙/国子监	东城区
定都阁景区	门头沟区
将府公园	朝阳区
小汤山现代农业示范园	昌平区
居庸关	昌平区
庆丰公园	朝阳区
张裕爱斐堡国际酒庄	密云区
恭王府	西城区
慕田峪长城	怀柔区
戒台寺	门头沟区
房山世界地质公园博物馆	房山区
故宫博物院	东城区
斯普瑞斯奥莱旅游商业文化体验区	海淀区
日坛公园	朝阳区
明城墙遗址公园	东城区
景山公园	西城区
朝阳公园	朝阳区
桃源仙谷自然风景区	密云区
水关长城	丰台区
潭柘寺	门头沟区
爨柏景区	门头沟区
玉渊潭公园	海淀区
玉渡山风景区	延庆区
白鹿公园	朝阳区
百望山森林公园	海淀区
百花山自然风景区	房山区
石景山游乐园	石景山区
石花洞	房山区
神堂峪自然风景区	怀柔区
神泉峡景区	门头沟区
稻香湖公园	海淀区
紫竹院公园	海淀区
红螺寺	怀柔区
红领巾公园	朝阳区
绿野晴川野生动物园	大兴区
莲花池公园	丰台区
虎峪自然风景区	昌平区
谷山村景区	门头沟区
通州大运河森林度假区	通州区
通州运河公园	通州区
野鸭湖国家湿地公园	延庆区
金中都公园	西城区
金水湖景区	怀柔区
银山塔林风景区	西城区
银狐洞	房山区
长力金源（北京）热带植物园	大兴区
阳台山自然风景区	海淀区
陶然亭景区	西城区
青年湖公园	东城区
静之湖度假区	昌平区
颐和园	海淀区
首都博物馆	西城区
香山公园	海淀区
鹿世界主题园景区	怀柔区
黄花水长城旅游区	密云区
黑龙潭旅游区	海淀区
龙庆峡	延庆区
龙潭湖公园	东城区
龙脉温泉度假村	昌平区
